Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_1,A simulated disease profile for Disease_1 with common medical symptoms and treatments.,"Rash,Headache,Fever,Muscle pain,Dizziness","Avoid contact with infected individuals,Use protective gear,Maintain hygiene","Amoxicillin,Metformin,Omeprazole","500mg twice a day,100mg once daily","Difficulty breathing,Uncontrolled bleeding","Regular checkups,Limit alcohol intake,Avoid smoking"
Disease_2,A simulated disease profile for Disease_2 with common medical symptoms and treatments.,"Dizziness,Blurred vision,Joint pain,Headache,Vomiting","Regular hand washing,Maintain hygiene,Rest adequately","Aspirin,Paracetamol,Amoxicillin","10ml thrice a day,500mg twice a day","High-grade fever,Loss of consciousness","Limit alcohol intake,Avoid smoking,Low-fat diet"
Disease_3,A simulated disease profile for Disease_3 with common medical symptoms and treatments.,"Nausea,Blurred vision,Fever,Vomiting,Muscle pain","Vaccination,Physical distancing,Rest adequately","Aspirin,Prednisone,Amoxicillin","200mg every 8 hours,10ml thrice a day","High-grade fever,Difficulty breathing","Low-fat diet,Adequate sleep,Hydration"
Disease_4,A simulated disease profile for Disease_4 with common medical symptoms and treatments.,"Vomiting,Loss of appetite,Blurred vision,Muscle pain,Chest pain","Vaccination,Eat a balanced diet,Avoid contact with infected individuals","Azithromycin,Loratadine,Prednisone","1 tablet after meals,100mg once daily","Loss of consciousness,Difficulty breathing","Avoid smoking,Adequate sleep,Hydration"
Disease_5,A simulated disease profile for Disease_5 with common medical symptoms and treatments.,"Shortness of breath,Dizziness,Fever,Sore throat,Muscle pain","Eat a balanced diet,Drink plenty of water,Maintain hygiene","Amoxicillin,Prednisone,Paracetamol","100mg once daily,200mg every 8 hours","Severe dehydration,Difficulty breathing","Daily exercise,Avoid smoking,Stress management"
Disease_6,A simulated disease profile for Disease_6 with common medical symptoms and treatments.,"Cough,Shortness of breath,Headache,Joint pain,Vomiting","Maintain hygiene,Use protective gear,Avoid spicy food","Azithromycin,Omeprazole,Aspirin","250mg every 6 hours,1 tablet after meals","Uncontrolled bleeding,Severe dehydration","Limit alcohol intake,Regular checkups,Low-fat diet"
Disease_7,A simulated disease profile for Disease_7 with common medical symptoms and treatments.,"Headache,Loss of appetite,Shortness of breath,Fatigue,Cough","Use protective gear,Eat a balanced diet,Rest adequately","Cetirizine,Prednisone,Omeprazole","1 tablet after meals,100mg once daily","Uncontrolled bleeding,High-grade fever","Hydration,Avoid smoking,Limit alcohol intake"
Disease_8,A simulated disease profile for Disease_8 with common medical symptoms and treatments.,"Dizziness,Sore throat,Nausea,Cough,Loss of appetite","Avoid contact with infected individuals,Use protective gear,Eat a balanced diet","Metformin,Aspirin,Cetirizine","100mg once daily,250mg every 6 hours","Uncontrolled bleeding,High-grade fever","Avoid smoking,Stress management,Daily exercise"
Disease_9,A simulated disease profile for Disease_9 with common medical symptoms and treatments.,"Cough,Fever,Dizziness,Chest pain,Fatigue","Physical distancing,Use protective gear,Avoid contact with infected individuals","Prednisone,Omeprazole,Paracetamol","100mg once daily,10ml thrice a day","Severe dehydration,Uncontrolled bleeding","Hydration,Avoid smoking,Regular checkups"
Disease_10,A simulated disease profile for Disease_10 with common medical symptoms and treatments.,"Joint pain,Muscle pain,Nausea,Fever,Loss of appetite","Use protective gear,Eat a balanced diet,Drink plenty of water","Loratadine,Amoxicillin,Ibuprofen","100mg once daily,500mg twice a day","Severe chest pain,Severe dehydration","Regular checkups,Limit alcohol intake,Stress management"
Disease_11,A simulated disease profile for Disease_11 with common medical symptoms and treatments.,"Headache,Shortness of breath,Muscle pain,Fever,Joint pain","Drink plenty of water,Rest adequately,Eat a balanced diet","Paracetamol,Metformin,Omeprazole","100mg once daily,500mg twice a day","Loss of consciousness,Severe dehydration","Hydration,Daily exercise,Limit alcohol intake"
Disease_12,A simulated disease profile for Disease_12 with common medical symptoms and treatments.,"Rash,Fever,Chest pain,Shortness of breath,Cough","Use protective gear,Rest adequately,Maintain hygiene","Metformin,Azithromycin,Cetirizine","500mg twice a day,100mg once daily","Severe dehydration,Severe chest pain","Limit alcohol intake,Hydration,Adequate sleep"
Disease_13,A simulated disease profile for Disease_13 with common medical symptoms and treatments.,"Vomiting,Headache,Dizziness,Nausea,Loss of appetite","Rest adequately,Use protective gear,Physical distancing","Omeprazole,Prednisone,Azithromycin","250mg every 6 hours,500mg twice a day","Difficulty breathing,Severe chest pain","Low-fat diet,Regular checkups,Daily exercise"
Disease_14,A simulated disease profile for Disease_14 with common medical symptoms and treatments.,"Shortness of breath,Dizziness,Muscle pain,Fever,Nausea","Avoid spicy food,Rest adequately,Regular hand washing","Azithromycin,Paracetamol,Aspirin","200mg every 8 hours,10ml thrice a day","Loss of consciousness,Severe dehydration","Limit alcohol intake,Stress management,Daily exercise"
